phrase,class
2 ticket antarctic base exhibition,0
said good luck,3
dec 11,5
earthquake geology,5
call anuja,4
started trying cast kind getting ' s,3
cracking,4
like light,1
least back hillside wild animal think probably justify,3
interested climate change exhibition go to =,1
wha - taking school,3
' s like bee insect,3
love education forest,5
3,5
3 ticket exhibition forest,0
space north pole,5
like nature,5
visiting museum next monday part museum see,2
1 ticket aug 02,0
5 ticket saturday,0
geological wall suitable kid,2
' s n ' t hate charge someone else ' s life,3
love physic,5
' s broad issue,3
' s true ' s true ' s ' s,3
call jane,4
like ecology,5
exhibition mar,1
museum open next friday,2
see flooded forest saturday,2
love south pole exhibition go,1
artist showing,2
called casimiro,4
hello,4
like life,1
earthquake,5
take hose cut,3
apr 02,5
see antarctic base next thursday,2
love astronomy,5
know community oriented,3
n ' t know sir seems like trying get every way,3
related ecology,1
see flooded forest thursday,2
would like 4 ticket,0
like moon,5
like big bang,1
six ticket week,0
love plant,5
six ticket antarctic base exhibition,0
eight ticket exhibition cosmos,0
' s okay u go extend youth ' s life like much water desert,3
see universe room 11 mar,2
okay foreign country,3
much 10 ticket museum cost ?,0
love astronomy exhibition go,1
love climate change,5
nine ticket antarctic base exhibition,0
4 ticket 07 jul,0
see sustainable building 06 apr,2
much nine ticket museum cost ?,0
call keitha,4
9 ticket please,0
interested gravity space,5
mean county much larger,3
9 ticket 10 jun,0
museum open friday,2
hope get something,3
sustainable building,5
interested nature suggest,1
climate change passion mine exhibition caixa museum cover,1
three ticket may 05,0
exhibition kid,2
like biodiversity,1
8,5
four ticket antarctic base exhibition,0
get 5 ticket please,0
g ’ day,4
would like seven ticket please,0
like volcano,5
landscape,5
love exploration astronomy,5
cosmos passion mine exhibition caixa museum cover,1
really help people think,3
like animal,5
want learn south america exhibition recommend,1
nov 02,5
see flooded forest jul 09,2
call dog ?,3
8 ticket antarctic base exhibition,0
industrial marketing,3
could please get 10 ticket,0
want buy six ticket antarctic base exhibition,0
environment,5
next week,2
like light,5
british french mostly decided carve part world call part persia,3
5,5
one ticket please,0
like climate change,1
five ticket geological wall exhibition,0
1,5
see geological wall monday,2
future show,2
visiting museum nov 30 part museum see,2
oct 05,2
like rock,5
love animal space,5
see flooded forest next saturday,2
much 4 ticket museum cost ?,0
oh ter n ' t talking right fixing dinner,3
nature,5
interested water nature,5
good see,4
ticket sustainable building exhibition,0
eight ticket nov 16 please,0
whatever n ' t want make read somewhere though ' s point guess,3
ten ticket 21 jul please,0
oh ' s probably first guy called,3
6,5
ten ticket 30 may,0
garden landscaping lawn ?,3
5,5
want buy six ticket exhibition nature,0
love earthquake,5
want buy five ticket flooded forest exhibition,0
could n ' t hear ?,3
would like 3 ticket,0
want buy 2 ticket antarctic base exhibition,0
7 ticket please,0
mean individual business,3
see universe room week,2
evolution,5
geological wall,5
see geological wall 17 sep,2
love environment exhibition go,1
would like get eight ticket,0
north pole,5
like exploration,5
2 ticket thursday please,0
casting weight line,3
love universe exhibition go,1
want buy ten ticket sustainable building exhibition,0
like life mar,5
ticket exhibition rock,0
visiting museum sunday part museum see,2
want get drunk,3
related urban planning,1
greeting,4
would hate anyone put,3
would like 9 ticket please,0
tell geological wall exhibition,2
kind waste person,3
okay nothing missing,3
okay well nice talk,3
see antarctic base oct 06,2
god ca n ' t imagine,3
love efficiency,5
8 ticket sustainable building exhibition,0
5,5
museum open nov 28,2
2 ticket 30 oct,0
like climate change,5
new ?,4
kind cat ?,3
related astronomy,1
sunday,2
like south pole,1
4 ticket 09 sep please,0
see sustainable building sunday,2
would like go antarctic base exhibition saturday,0
name coulter,4
know feel like ' ve lived life need share,3
7 ticket sustainable building exhibition,0
thing six man jury ?,3
museum open 29 oct,2
six ticket 28 aug,0
like design climate change,5
jun 17,5
would like get ticket,0
three ticket monday please,0
space water,5
interested exploration exhibition go to =,1
climate change,5
pattern behavior mean ?,3
like universe,5
interested climate change,5
see flooded forest 12 feb,2
flooded forest,5
oh okay first person ' ve talked outside texas,3
' s sad life think today,3
star,5
interested climate suggest,1
amazon passion mine exhibition caixa museum cover,1
cool man ' s really porked guess,3
7,5
' s kind like,3
well paid,3
efficiency design,5
nine ticket may 06 please,0
like artic,5
interested plant,5
geological wall,5
twenty buck whack,3
want buy three ticket exhibition architecture,0
created sustainable building,2
see flooded forest 23 jun,2
universe room,5
name dimitrios,4
honestly well perceived war world wide,3
school teacher,3
well say think read recently bush administration increased funding peace corp,3
love north pole,5
love climate,5
museum open next weekend,2
10 ticket sustainable building exhibition,0
like earthquake,5
ferman,4
eight ticket 24 mar,0
would like eight ticket,0
two ticket please,0
good morning,4
big bang passion mine exhibition caixa museum cover,1
would like get four ticket,0
get 10 ticket please,0
interested astronomy education,5
would like 9 ticket,0
related efficiency,1
see sustainable building may 03,2
called isaih,4
10,5
nov 21,2
want go museum ticket week ?,0
universe,5
8,5
related nature,1
want buy 8 ticket geological wall exhibition,0
show exhibition ecology,1
museum open saturday,2
interested rock,5
nature,5
7,5
many call made system ?,3
like exploration big bang,5
like physic,5
well florida seems like two three time year ' s constantly,3
9 ticket 03 mar please,0
museum,2
show exhibition north pole,1
8 ticket 07 sep,0
see flooded forest next wednesday,2
06 feb,2
love north pole exhibition go,1
interested nature sustainability,5
love river exhibition go,1
born denton raised lubbock,3
could please get seven ticket,0
visiting museum 05 sep part museum see,2
next tuesday,2
want learn biodiversity exhibition recommend,1
physic,5
love sustainability,5
would like get 9 ticket,0
apr 05,5
see flooded forest aug 03,2
eight ticket friday,0
worked way engine n ' t know long ' m,3
tough topic,3
like ecology,5
one ticket antarctic base exhibition,0
related sun,1
experiment chicken whose artery similar,3
see antarctic base month,2
see sustainable building 14 jul,2
' s kind scary,3
flooded forest,5
always like musical,3
ten ticket dec 11 please,0
interested urban planning exhibition go to =,1
see sustainable building 18 apr,2
antarctic base suitable kid,2
two ticket aug 23,0
purchase ticket next week,0
museum open mar 09,2
want buy four ticket exhibition cosmos,0
seven ticket oct 16 please,0
like rock,5
nine ticket 05 jun,0
interested ecology sustainability,5
exhibition photo,2
need 1 ticket,0
tuesday,5
seven ticket jun 21 please,0
like plant,1
love light exhibition go,1
like photography,5
6 ticket please,0
07 aug,2
9,5
see antarctic base next saturday,2
love moon,5
monday,2
would like ten ticket please,0
could please get two ticket,0
lucky get paycheck way figure,3
star passion mine exhibition caixa museum cover,1
want learn photography exhibition recommend,1
leaking inside car,3
like urban planning,5
like climate change,5
thursday,2
10 ticket flooded forest exhibition,0
apr 19,5
three ticket weekend,0
know certain,3
show exhibition climate,1
n ' t child around ?,3
maybe tell go something n ' t know benefit,3
love cosmos big bang,5
4,5
well know time enough,3
related forest,1
see flooded forest 03 sep,2
related matter,1
five ticket 20 apr,0
visiting museum sunday part museum see,2
think mother child lose think ' s many problem,3
love urban planning,5
whenever something look like something else,3
antarctic base exhibit start,2
ticket antarctic base exhibition,0
dec 08,5
see flooded forest jul 06,2
4 ticket next monday please,0
monday,5
see sustainable building aug 18,2
show exhibition technology,1
six,5
upon time well two dog kid,3
jul 17,2
related technology,1
mar 12,2
love biodiversity,5
call buford,4
call dinesh,4
like jungle forest,5
want buy ticket today,0
get unto kind,3
want learn geology exhibition recommend,1
18 apr,5
two,5
1,5
see geological wall sep 21,2
like earthquake,1
want buy seven ticket universe room exhibition,0
antarctic base,5
see flooded forest weekend,2
could please get six ticket,0
three ticket sustainable building exhibition,0
' ve always got got nose tongue pressed window come walking front door,3
like big bang,5
friday,5
home owner got taxed death,3
related earthquake,1
interested space nature,5
want buy 2 ticket geological wall exhibition,0
one ticket oct 10,0
would like three ticket,0
go different country see fact saw interview v night patrick swayze,3
see flooded forest next friday,2
know harm whereas sometimes ca n ' t even get kid know,3
created antarctic base,2
like nature,5
8 ticket 12 jun,0
like chinese eat,3
ticket 16 mar,0
4,5
new,4
moon passion mine exhibition caixa museum cover,1
four ticket next wednesday please,0
three,5
visiting museum month part museum see,2
one ticket 04 mar,0
7,5
18 jun,2
1,5
worked antarctic base exhibition,2
landscape passion mine exhibition caixa museum cover,1
take big part evening weekend,3
interested landscape suggest,1
see antarctic base aug 25,2
think would would know economic benefit know everyone concerned,3
tuesday,5
much 6 ticket museum cost ?,0
like light animal,5
love brazil exhibition go,1
love water climate,5
museum open mar 17,2
' s kind nice way get away everything day,3
interested earthquake forest,5
okay well see saw,3
tomorrow,5
really believe something like,3
money ' s available,3
museum open jul 24,2
eight ticket geological wall exhibition,0
see flooded forest aug 06,2
see geological wall next monday,2
oh ' s really weird,3
sustainability,5
learn lot way ' s way could could fix every car world know,3
would like 2 ticket please,0
see antarctic base week,2
three,5
even somebody making twice making could put half,3
see antarctic base saturday,2
see geological wall 26 dec,2
want learn light exhibition recommend,1
10,5
like volcano,5
love planet universe,5
see antarctic base tomorrow,2
thursday,2
like nature,5
love biodiversity physic,5
exhibition rock,2
related environment,1
like star,1
like south america,5
7,5
one ticket exhibition photography,0
friday,5
want buy one ticket,0
want buy nine ticket flooded forest exhibition,0
like plant,5
nov 09,5
could please get eight ticket,0
see universe room next sunday,2
want buy 9 ticket exhibition architecture,0
see flooded forest month,2
one ticket dec 13 please,0
6 ticket geological wall exhibition,0
show exhibition jungle,1
10,5
see antarctic base apr 20,2
want buy ticket sustainable building exhibition,0
morning,4
called dinesh,4
three ticket next wednesday,0
see flooded forest friday,2
chermaine,4
3 ticket feb 17,0
people know like church free,3
n ' t ask taking school ?,3
found experience budget time,3
see flooded forest thursday,2
want buy 4 ticket geological wall exhibition,0
like big bang,5
museum open 02 oct,2
friday,2
ticket universe room exhibition,0
brazil passion mine exhibition caixa museum cover,1
6 ticket next tuesday,0
like south pole,5
like ecology biodiversity,5
visiting museum mar 09 part museum see,2
want buy nine ticket sustainable building exhibition,0
love brazil,5
whatever thing,3
want buy one ticket exhibition ecology,0
may 26,5
could get 7 ticket,0
call isabela,4
three ticket exhibition earth,0
two ticket caixa museum please,0
visiting museum saturday part museum see,2
evolution passion mine exhibition caixa museum cover,1
yes wondering whether favor statehood independence status quo puerto rico,3
next wednesday,2
interested biodiversity,5
see sustainable building jan 23,2
show exhibition gravity,1
2,5
like south america astronomy,5
evolution,5
like geology,1
interested mar exhibition go to =,1
called chermaine,4
mean guess would go flower,3
museum open 26 mar,2
n ' t know judge might little cold - blooded,3
show exhibition mar,1
' s true really,3
would like 10 ticket please,0
want buy ticket jul 28,0
5 ticket next week please,0
9,5
5 ticket universe room exhibition,0
2 ticket jul 06,0
well frankly think school teacher ought get ten time getting paid,3
see flooded forest 24 mar,2
want buy one ticket geological wall exhibition,0
see universe room feb 06,2
like mar,1
n ' t kno idea,3
want buy seven ticket flooded forest exhibition,0
love nature exhibition go,1
want buy 1 ticket exhibition planet,0
see antarctic base 17 apr,2
tell flooded forest exhibit,2
want learn landscape exhibition recommend,1
see universe room dec 01,2
3 ticket mar 21 please,0
exhibition water,1
one ticket flooded forest exhibition,0
exhibition,2
worked geological wall exhibition,2
two,5
interested brazil suggest,1
good,4
like watching lot like college basketball,3
mean said sure know,3
certain thing could provide without doctor prescription based qualification,3
01 aug,5
much 5 ticket museum cost ?,0
still would hate jury sentenced someone,3
five ticket 07 nov,0
visiting museum 22 mar part museum see,2
visiting museum friday part museum see,2
like nature,5
feel necessary,3
like constantly seemed like,3
happening,4
would like three ticket please,0
could get ticket,0
museum open sunday,2
sep 22,5
salute,4
want buy 5 ticket exhibition jungle,0
see geological wall apr 18,2
love earth,5
like mar,5
would like get four ticket please,0
like cosmos,5
4 ticket exhibition exploration,0
10 ticket 24 nov please,0
sustainable building,5
dimitrios,4
exhibition matter,1
sort half student half working source income stuff ' m actually managing zero debt,3
interesting watch water rise sudden,3
universe room,5
interested life suggest,1
could get 8 ticket,0
called ezequiel,4
want buy 1 ticket antarctic base exhibition,0
would like get two ticket please,0
running stake another attached twelve foot leash,3
family think like girl today child,3
need 7 ticket,0
see flooded forest next week,2
interested design exhibition go to =,1
five ticket exhibition climate,0
1,5
want learn life exhibition recommend,1
see sustainable building saturday,2
2,5
flooded forest,5
love jungle exhibition go,1
12 dec,5
5 ticket 20 jun,0
get 7 ticket please,0
see universe room monday,2
like sustainability,5
would like go universe room exhibition weekend,0
show exhibition south pole,1
interested north pole,5
nine ticket sep 30 please,0
dinesh,4
get two ticket please,0
way prevent family know like basically ' s contraceptive,3
would like get 2 ticket,0
want buy five ticket exhibition north pole,0
would like go antarctic base exhibition aug 21,0
would like go geological wall exhibition sunday,0
see antarctic base friday,2
see sustainable building jun 07,2
want buy eight ticket,0
museum open week,2
seven ticket,0
want buy 7 ticket,0
trying try stay firm stay old age,3
pretty regularly read paper lately like last week two guess easter,3
geological wall,5
hellooo,4
artic,5
want learn design exhibition recommend,1
8 ticket friday,0
look ?,3
love urban planning amazon,5
student horrible like eighth grade horrible know get like tenth grade,3
geological wall,5
visiting museum 13 jan part museum see,2
exhibition earth,2
ticket sep 27 please,0
four ticket tuesday,0
want buy 3 ticket,0
exhibition urban planning,2
want buy two ticket sustainable building exhibition,0
would like eight ticket please,0
kitten look like,3
see universe room 01 mar,2
five ticket sustainable building exhibition,0
think state ?,3
want learn animal exhibition recommend,1
' s big enough intimidating,3
museum open 02 jan,2
call agnieszka,4
want buy 10 ticket universe room exhibition,0
could please get 8 ticket,0
ca n ' t say anything kind make noise,3
visiting museum tuesday part museum see,2
sustainable building,5
love life exhibition go,1
2 ticket thursday,0
want learn astronomy exhibition recommend,1
10 ticket geological wall exhibition,0
want buy seven ticket antarctic base exhibition,0
hi,4
kind hard notice dad n ' t around,3
watched lot v war,3
next tuesday,5
visiting museum oct 11 part museum see,2
7 ticket universe room exhibition,0
love south america exhibition go,1
related landscape,1
jul 16,5
sanjuana,4
see sustainable building next week,2
five ticket saturday please,0
six ticket apr 09,0
ticket sustainable building exhibition,0
get seven ticket please,0
nov 09,2
five ticket mar 29,0
especially kid n ' t let watch,3
called dimitrios,4
see antarctic base monday,2
show exhibition geology,1
good afternoon,4
want buy ticket exhibition rock,0
7,5
want buy 4 ticket exhibition gravity,0
see antarctic base oct 28,2
get eight ticket please,0
two ticket saturday please,0
know sat know dropped car tire something like,3
right like convicted certain crime automatically get many year ' s discretionary thing,3
next thursday,2
see geological wall jun 13,2
see antarctic base may 14,2
wednesday,2
biodiversity,5
interested animal exhibition go to =,1
interested gravity suggest,1
interested ecology suggest,1
8 ticket flooded forest exhibition,0
interested science,5
see antarctic base tuesday,2
interested technology sun,5
isabela,4
worked wonderfully,3
geological wall,5
show exhibition water,1
museum open tuesday,2
feb 16,5
exhibition environment,1
like mar,5
nice seeing,4
related earth,1
ticket tuesday,0
5 ticket dec 08 please,0
ticket flooded forest exhibition,0
heinz,4
need three ticket,0
like star,5
like climate change education,5
visiting museum jul 24 part museum see,2
would probably tear apart,3
visiting museum mar 05 part museum see,2
4,5
like river exploration,5
south pole landscape,5
dec 26,5
like evolution,5
six ticket caixa museum please,0
called coulter,4
7 ticket jan 30 please,0
would like 6 ticket,0
25 jul,5
ticket monday please,0
six ticket 01 sep please,0
peru recently following middle east rather,3
oh ' s right think recall reading paper,3
see universe room weekend,2
eight,5
hellooo,4
like earthquake sun,5
good see,4
three ticket saturday please,0
exhibition south america,2
related artic,1
nine ticket tuesday please,0
mar,5
go hunting go race,3
call boaz,4
5 ticket thursday,0
love planet exhibition go,1
want buy 4 ticket flooded forest exhibition,0
design,5
interested nature,5
make sure ' s ' s friendly animal,3
people guess make sense said within border feel freer,3
like nature science,5
know take let let old elderly people pet dog,3
4 ticket saturday,0
see geological wall apr 26,2
thi n ' t know feel think maybe majority might sufficient,3
go kid though ?,3
would would feel guilty,3
like evolution,5
photography,5
tuesday,2
' s many people actually get killed,3
like artic,5
one ticket next sunday,0
nice meeting,4
ticket ?,0
next monday,5
love sun climate change,5
exhibition amazon,1
see antarctic base tuesday,2
visiting museum tuesday part museum see,2
eight ticket sunday please,0
interested rock exhibition go to =,1
1,5
interested physic,5
want buy 6 ticket exhibition education,0
3 ticket may 30 please,0
see antarctic base 22 nov,2
seven ticket 21 oct,0
want buy five ticket antarctic base exhibition,0
oh god would exact opposite,3
exhibition universe room,2
would like one ticket,0
eight ticket sustainable building exhibition,0
like river,5
interested moon exhibition go to =,1
think actually,3
,4
tell sustainable building exhibit,2
related river,1
tomorrow,5
see antarctic base mar 03,2
north pole passion mine exhibition caixa museum cover,1
easiest way maybe n ' t think ' s monetary thing,3
three,5
animal passion mine exhibition caixa museum cover,1
could please get 1 ticket,0
know florida,3
love animal exhibition go,1
see universe room 27 may,2
7 ticket caixa museum please,0
help me ?,4
like landscape,5
right nobody,3
six ticket sunday please,0
earth passion mine exhibition caixa museum cover,1
want buy ticket may 11,0
exhibition,2
4 ticket sunday,0
want buy 6 ticket universe room exhibition,0
want buy two ticket flooded forest exhibition,0
4 ticket 20 dec please,0
see geological wall tomorrow,2
called jane,4
thing shrimp else,3
visiting museum 31 may part museum see,2
2,5
04 oct,5
museum open 08 dec,2
4 ticket universe room exhibition,0
six ticket geological wall exhibition,0
nine ticket 15 may,0
need 4 ticket,0
created universe room,2
interested rock suggest,1
like exploration,1
arequipa,3
1,5
see sustainable building thursday,2
oh ' s nice mostly catfish,3
visiting museum 19 dec part museum see,2
see antarctic base 30 nov,2
least service every sunday,3
antarctic base,5
like amazon plant,5
good day,4
much two ticket museum cost ?,0
decreasing military spending,3
called ferman,4
sunday,5
like moon,1
well amazingly lot time ' s real easy,3
new york state know ' m ' m second lieutenant air force,3
want buy eight ticket sustainable building exhibition,0
jul 31,5
want buy 8 ticket flooded forest exhibition,0
museum open tomorrow,2
ticket sustainable building exhibition,0
call casimiro,4
visiting museum nov 15 part museum see,2
think kid like sustainable building,2
interested river suggest,1
show exhibition forest,1
agnieszka,4
name jenilyn,4
see antarctic base monday,2
interested jungle suggest,1
tha - ' s illegal see company c e - s within private company would jail,3
interested efficiency suggest,1
unfortunately ' s happens,3
monday,5
regard,4
know worked full - time job part - time job,3
love south america earth,5
would like 1 ticket please,0
5 ticket sunday please,0
see universe room saturday,2
weekend,5
museum open 30 apr,2
like design,5
water passion mine exhibition caixa museum cover,1
ticket nov 15 please,0
see antarctic base 23 apr,2
take whole chain,3
ten ticket sunday please,0
four ticket saturday please,0
see antarctic base nov 23,2
seven ticket please,0
three ticket may 07,0
museum open tuesday,2
exhibition design,2
franchised restaurant always prefer go something seems family run,3
universe room,5
biodiversity passion mine exhibition caixa museum cover,1
like physic,5
jacen,4
want buy five ticket universe room exhibition,0
2 ticket next wednesday please,0
' ve work site hunt valley maryland,3
five ticket antarctic base exhibition,0
want buy book,3
like design,5
see geological wall next week,2
like rock,1
see geological wall next month,2
seven ticket flooded forest exhibition,0
like photography,1
spent couple year plano texas,3
10 ticket,0
would like get 7 ticket please,0
want buy eight ticket exhibition photography,0
could get four ticket,0
would like get ten ticket,0
seventh eighth grade started come around realize basically got interested math,3
take size paycheck ' s whole lot always paycheck,3
evolution,5
like water,5
like environment,1
5,5
want buy one ticket exhibition universe,0
get bad situation without go phone booth stand around wait,3
3 ticket 18 may please,0
' s n ' t n ' t know,3
want buy two ticket geological wall exhibition,0
exhibition water,2
see universe room friday,2
rent car get,3
see geological wall dec 19,2
well a - economic standpoint pure safety know,3
love rock climate,5
love landscape,5
like education,1
visiting museum next week part museum see,2
would like get one ticket please,0
15 dec,5
n ' t plan either ever,3
could get five ticket,0
see sustainable building next tuesday,2
time get incredibly hot,3
love river,5
interested matter,5
three ticket saturday,0
called heinz,4
8 ticket universe room exhibition,0
love mar exhibition go,1
see universe room wednesday,2
museum open monday,2
helloo,4
8 ticket caixa museum please,0
like earth,5
love urban planning exhibition go,1
love gravity,5
want buy ticket next month,0
well n ' t know ' ve seen think,3
show exhibition matter,1
yes seminar every,3
would like 8 ticket,0
earth artic,5
interested earthquake suggest,1
else ' m sure getting close five minute whatever,3
see flooded forest sep 30,2
n ' t know little girl n ' t interested lot thing little boy,3
26 nov,5
usually come away thinking really n ' t like show,3
week,5
9 ticket flooded forest exhibition,0
could please get 3 ticket,0
sustainable building exhibit start,2
ezequiel,4
flooded forest,5
show exhibition nature,1
want buy 1 ticket,0
call heinz,4
23 oct,5
interested light suggest,1
like ya doin '.,4
saturday,2
life treating,4
gravity,5
six ticket please,0
make ease know knew n ' t going lose job unless really something horrendous,3
four ticket caixa museum please,0
want buy three ticket exhibition climate change,0
color black to - tongue chow shap - shape shepherd,3
antarctic base,5
interested evolution,5
love matter,5
3 ticket sustainable building exhibition,0
interested big bang,5
well like ford apparently ?,3
definitely look,3
like sustainability universe,5
maybe let ' s see else ? change,3
' s intelligent dog ' ve ever seen course ' m little prejudiced course,3
nice see,4
going,4
get 1 ticket please,0
coulter,4
tha - ' s way alabama,3
see geological wall next tuesday,2
love photo exhibition go,1
volcano south america,5
8,5
seven ticket sustainable building exhibition,0
said probably friend television,3
1 ticket next monday,0
like rock evolution,5
want buy two ticket exhibition universe,0
get 9 ticket please,0
exhibition gravity,1
nice meet,4
normal driving n ' t especially hot day pressure would get high enough,3
love ecology,5
kid like antarctic base,2
much 9 ticket museum cost ?,0
like plant,5
kind neat hobby ?,3
museum open next wednesday,2
able display,3
love landscape exhibition go,1
see antarctic base sunday,2
six ticket sustainable building exhibition,0
like efficiency,1
exhibition physic,1
ticket flooded forest exhibition,0
love geology exhibition go,1
see flooded forest 19 jan,2
love technology exhibition go,1
universe room,5
see sustainable building aug 04,2
would like get 1 ticket please,0
one ticket geological wall exhibition,0
kind way prevent pregnancy need child n ' t want,3
exhibition available,2
much six ticket museum cost ?,0
31 jan,5
love matter nature,5
see sustainable building next month,2
like photo,5
18 may,5
like evolution,5
antarctic base,5
interested technology space,5
know v - s right,3
visiting museum 12 may part museum see,2
want buy 3 ticket exhibition geology,0
next friday,5
interested evolution exhibition go to =,1
7,5
thursday,5
9 ticket saturday,0
want go adventure,3
well work ?,3
interested light universe,5
10 ticket feb 26,0
well ' s interesting well sound though favor status quo,3
,4
see geological wall 20 jun,2
see antarctic base next wednesday,2
love efficiency exhibition go,1
would like 8 ticket please,0
see flooded forest jul 20,2
n ' t know unless knew somewhere really mean really great,3
5 ticket 16 jan,0
love gravity exhibition go,1
interested moon,5
1 ticket next week please,0
west colorado spring,3
two ticket 28 jul please,0
could get 4 ticket,0
2 ticket exhibition moon,0
see antarctic base 02 dec,2
would like ticket,0
would like ticket please,0
interested life exhibition go to =,1
universe room,5
saudi border,3
interested volcano exhibition go to =,1
see antarctic base dec 10,2
like north pole,5
interested landscape exhibition go to =,1
2 ticket friday,0
two ticket sunday please,0
like mar gravity,5
want learn universe exhibition recommend,1
1 ticket please,0
thing extra seems large extra n ' t exist,3
name buford,4
would like 6 ticket please,0
call andreia,4
exhibition nature,1
3 ticket geological wall exhibition,0
created geological wall,2
love technology earth,5
evolution earth,5
exhibition north pole,2
goin,4
visiting museum tomorrow part museum see,2
6,5
related volcano,1
like biodiversity,5
neww,4
light biodiversity,5
would like get 6 ticket,0
interested evolution photo,5
love mar,5
see flooded forest may 26,2
interested cosmos suggest,1
ten,5
especially around bonus time,3
apr 21,5
name ezequiel,4
interested plant suggest,1
actually spending thirty - three percent ' s real dollar know,3
love cosmos exhibition go,1
see antarctic base aug 07,2
2 ticket please,0
show kid ?,2
visiting museum 18 dec part museum see,2
visiting museum 19 apr part museum see,2
see geological wall next friday,2
homework go work part time job,3
' s true course requirement every single appeal must permitted,3
right n ' t care go place price,3
10 ticket exhibition ecology,0
interested artic exhibition go to =,1
two ticket next tuesday,0
see antarctic base next weekend,2
tell universe room exhibition,2
visiting museum feb 16 part museum see,2
need 8 ticket,0
love forest exhibition go,1
top make child feel inferior,3
must say interesting,3
would like get nine ticket,0
like evolution,5
oct 31,5
see universe room next tuesday,2
love universe,5
5,5
ecology climate,5
want buy 6 ticket flooded forest exhibition,0
want buy 5 ticket exhibition nature,0
greet,4
get 8 ticket please,0
interested design suggest,1
good,4
interested physic geology,5
you ?,4
like geology,5
love photography,5
interested forest,5
want learn nature exhibition recommend,1
one ticket next weekend,0
interested earth,5
interested evolution volcano,5
want buy 9 ticket antarctic base exhibition,0
9,5
see universe room 20 may,2
interested technology,5
want buy 1 ticket geological wall exhibition,0
see geological wall 08 mar,2
7 ticket geological wall exhibition,0
like water,5
love planet landscape,5
need ten ticket,0
feb 17,2
interested space suggest,1
geology,5
related jungle,1
interested mar,5
interested exploration suggest,1
visiting museum next month part museum see,2
like exploration,5
hello hi,4
see antarctic base sunday,2
want buy ten ticket geological wall exhibition,0
visiting museum today part museum see,2
way,3
like climate,5
biodiversity climate change,5
well little routine warm ups,3
happening,4
see flooded forest jun 23,2
interested geology exhibition go to =,1
interested physic exhibition go to =,1
right maryland,3
like science,1
3,5
interested gravity,5
plant,5
04 dec,5
good night,4
three ticket universe room exhibition,0
related physic,1
looking gray wall know,3
eight ticket antarctic base exhibition,0
anuja,4
show exhibition space,1
interested artic suggest,1
gmorning,4
went work stuff see every awhile like go workout,3
well saw red flag represents,3
like north pole,1
love climate change,5
museum open 20 dec,2
9 ticket friday please,0
live n ' t make lot money live high price apartment simply feel safe,3
see universe room next saturday,2
one ticket sunday please,0
visiting museum next sunday part museum see,2
,4
oh tr - keep trying anyway ?,3
love nature,5
want buy ten ticket exhibition ecology,0
want buy four ticket,0
interested brazil,5
eight ticket caixa museum please,0
9,5
ticket,0
interested brazil exhibition go to =,1
everything going,4
seven ticket wednesday please,0
love jungle,5
hope hope stud find attractive,3
look like grub,3
want buy 4 ticket exhibition ecology,0
help decide,1
visiting museum next wednesday part museum see,2
house main road nothing,3
like river,1
would like four ticket please,0
like universe,5
one ticket sustainable building exhibition,0
' ve received quite,3
interested astronomy suggest,1
also garden shop,3
volcano,5
nine,5
big part family big part know youngster thought,3
see sustainable building monday,2
know would like make sure job tomorrow first,3
tell flooded forest exhibition,2
well ' s ' s best system ' s best world,3
sound real good,3
five ticket universe room exhibition,0
love exploration,5
may 09,5
show exhibition photo,1
tell geological wall exhibit,2
would like get 2 ticket please,0
see sustainable building may 12,2
nature passion mine exhibition caixa museum cover,1
wednesday,5
love south america,5
exhibition forest,1
keitha,4
visiting museum monday part museum see,2
show exhibition moon,1
high price seven course n ' t usually look,3
sustainable building,5
know still stan - flag stand guess,3
see sustainable building next wednesday,2
five,5
interested cosmos exhibition go to =,1
want buy 5 ticket,0
exhibition,2
going on ?,4
exhibition river,1
think pension ? anything,3
see universe room 23 mar,2
' s great ' s kid come home n ' t mother,3
3 ticket friday,0
tax administered rental company actually managing apartment,3
love big bang exhibition go,1
6,5
want buy 5 ticket antarctic base exhibition,0
5 ticket 26 apr please,0
exhibition efficiency,1
think next session modified ' s still legal posse weapon florida,3
mao,4
pu - wheeled cart,3
saturday,5
like earth,5
visiting museum wednesday part museum see,2
nine ticket dec 30,0
tell flooded forest exhibition,2
visiting museum 17 jul part museum see,2
want buy 3 ticket geological wall exhibition,0
could please get 7 ticket,0
someone handing something,3
ticket 31 oct please,0
seven ticket universe room exhibition,0
5 ticket geological wall exhibition,0
sort run thirty foot cable,3
think anybody work kind service community something,3
like matter,1
sep 20,5
call isaih,4
crash,4
want learn matter exhibition recommend,1
see flooded forest feb 28,2
see universe room next friday,2
see antarctic base 21 oct,2
one ticket universe room exhibition,0
6 ticket,0
20 oct,5
next month,5
would like get three ticket please,0
month,5
see universe room tomorrow,2
related moon,1
like technology education,5
vehemently quieted n ' t think probably feel differently,3
large big fun,3
call shawn,4
show exhibition river,1
interested nature geology,5
ten,5
related water,1
sustainable building,5
interested architecture suggest,1
see flooded forest next monday,2
seven ticket caixa museum please,0
like environment evolution,5
ten ticket saturday please,0
nine,5
3 ticket next saturday,0
mesa verde park like end ju - july fourth,3
definitely,3
like amazon,5
could get one ticket,0
seven,5
see flooded forest monday,2
know absolutely favorite show ?,3
interested architecture exhibition go to =,1
